date_key,full_date,year,quarter,month,month_name,week_of_year,total_orders,delivered_orders,gross_revenue,net_revenue,avg_order_value,total_shipments,delivered_shipments,on_time_shipments,sla_breach_shipments,sla_breach_pct,shipping_cost,avg_shipping_cost,avg_transit_days,avg_delay_days
20231031,2023-10-31,2023,4,10,October,44,541,439,1312394.25,1188050.33,2196.03,549,465,420,46,8.38,109624.43,199.68,5.03,0.01
20240529,2024-05-29,2024,2,5,May,22,252,206,575467.93,525806.77,2086.53,266,230,210,20,7.52,49262.43,185.2,4.77,0.0
20240828,2024-08-28,2024,3,8,August,35,291,227,690051.96,626689.23,2153.57,284,242,218,24,8.45,58592.93,206.31,5.19,0.07
20250918,2025-09-18,2025,3,9,September,38,310,263,833454.39,745406.57,2404.54,314,263,243,21,6.69,63715.49,202.92,5.09,-0.0
20250816,2025-08-16,2025,3,8,August,33,311,256,757745.23,681196.06,2190.34,291,245,222,23,7.9,55829.62,191.85,4.93,0.02
20250801,2025-08-01,2025,3,8,August,31,285,244,714796.26,654520.82,2296.56,288,240,219,22,7.64,55732.24,193.51,4.83,-0.02
20231013,2023-10-13,2023,4,10,October,41,560,445,1389056.28,1268118.98,2264.5,542,464,430,36,6.64,108100.26,199.45,4.89,0.0
20250731,2025-07-31,2025,3,7,July,31,300,248,728101.71,659668.88,2198.9,277,237,222,16,5.78,58354.86,210.67,5.28,-0.01
20220416,2022-04-16,2022,2,4,April,15,248,208,552467.96,503180.1,2028.95,247,207,185,22,8.91,53548.47,216.8,5.09,0.03
20250104,2025-01-04,2025,1,1,January,1,233,189,561120.57,503078.14,2159.13,229,199,183,17,7.42,45868.57,200.3,4.94,0.03
20221221,2022-12-21,2022,4,12,December,51,473,396,1188946.11,1081386.5,2286.23,464,395,360,35,7.54,93115.52,200.68,5.05,-0.0
20231220,2023-12-20,2023,4,12,December,51,466,368,1109895.58,1008075.04,2163.25,488,410,380,32,6.56,96267.65,197.27,4.97,-0.08
20251227,2025-12-27,2025,4,12,December,52,442,360,1014831.14,910469.67,2059.89,461,392,359,35,7.59,89923.08,195.06,4.86,0.06
20231101,2023-11-01,2023,4,11,November,44,704,590,1772925.48,1601959.72,2275.51,575,483,438,48,8.35,114488.42,199.11,4.89,0.04
20231118,2023-11-18,2023,4,11,November,46,748,615,1850942.02,1665330.37,2226.38,790,676,624,52,6.58,157325.44,199.15,4.96,-0.0
20240617,2024-06-17,2024,2,6,June,25,271,227,643249.92,581260.84,2144.87,254,209,183,26,10.24,51821.14,204.02,5.14,0.06
20221228,2022-12-28,2022,4,12,December,52,450,366,1080553.17,980764.39,2179.48,463,380,348,35,7.56,92038.1,198.79,4.9,0.02
20250325,2025-03-25,2025,1,3,March,13,259,209,640427.7,576100.01,2224.32,257,230,210,21,8.17,49240.72,191.6,5.0,0.02
20250928,2025-09-28,2025,3,9,September,39,307,259,739630.87,667993.51,2175.87,308,257,230,29,9.42,61302.51,199.03,4.81,0.04
20220308,2022-03-08,2022,1,3,March,10,255,211,669273.15,607159.08,2381.02,242,205,188,18,7.44,50702.62,209.51,5.26,0.05
20250519,2025-05-19,2025,2,5,May,21,256,201,642597.91,585275.69,2286.23,278,238,217,21,7.55,55499.61,199.64,5.08,0.02
20230601,2023-06-01,2023,2,6,June,22,266,228,676120.99,603945.26,2270.47,269,229,213,19,7.06,54985.19,204.41,5.12,-0.01
20241003,2024-10-03,2024,4,10,October,40,557,459,1383434.07,1246913.52,2238.62,561,454,420,35,6.24,108468.42,193.35,4.82,0.01
20220515,2022-05-15,2022,2,5,May,19,289,238,758649.16,696099.36,2408.65,278,226,205,22,7.91,53339.46,191.87,4.84,0.05
20231218,2023-12-18,2023,4,12,December,51,458,366,1184220.47,1068074.98,2332.04,445,368,341,29,6.52,87888.52,197.5,4.92,-0.01
20251123,2025-11-23,2025,4,11,November,47,690,572,1718954.14,1552760.97,2250.38,667,558,519,39,5.85,132954.32,199.33,4.81,-0.04
20241112,2024-11-12,2024,4,11,November,46,721,597,1745192.38,1583998.17,2196.95,674,554,516,40,5.93,133578.68,198.19,4.81,-0.03
20230714,2023-07-14,2023,3,7,July,28,291,241,718536.68,650821.12,2236.5,279,240,224,16,5.73,52438.09,187.95,4.61,-0.01
20231029,2023-10-29,2023,4,10,October,43,547,445,1278700.74,1160085.21,2120.81,596,512,465,47,7.89,112346.87,188.5,4.65,0.02
20220222,2022-02-22,2022,1,2,February,8,217,182,574066.84,515841.01,2377.15,213,180,171,9,4.23,41747.76,196.0,4.88,-0.08
20250723,2025-07-23,2025,3,7,July,30,279,234,655361.61,590326.43,2115.87,279,231,215,16,5.73,54706.87,196.08,4.82,-0.07
20230518,2023-05-18,2023,2,5,May,20,255,210,607268.18,556817.86,2183.6,273,227,208,19,6.96,52452.67,192.13,4.88,-0.02
20240221,2024-02-21,2024,1,2,February,8,218,180,523602.57,474229.26,2175.36,226,195,183,12,5.31,42598.66,188.49,4.89,-0.01
20251114,2025-11-14,2025,4,11,November,46,716,584,1597713.72,1441384.49,2013.11,699,584,539,49,7.01,142167.23,203.39,4.94,-0.02
20230105,2023-01-05,2023,1,1,January,1,230,194,660524.64,599724.95,2607.5,229,191,171,21,9.17,47224.97,206.22,5.17,0.01
20221031,2022-10-31,2022,4,10,October,44,581,484,1527375.19,1383230.81,2380.78,590,478,438,41,6.95,116003.84,196.62,4.81,0.0
20230521,2023-05-21,2023,2,5,May,20,265,218,710666.89,635163.05,2396.84,279,228,208,21,7.53,51617.97,185.01,4.7,-0.02
20240113,2024-01-13,2024,1,1,January,2,227,181,545271.4,489569.36,2156.69,218,182,174,8,3.67,43659.78,200.27,4.84,-0.14
20250308,2025-03-08,2025,1,3,March,10,250,213,625682.58,572448.52,2289.79,249,202,185,18,7.23,49497.51,198.79,4.91,0.01
20251130,2025-11-30,2025,4,11,November,48,722,597,1798494.75,1627570.33,2254.25,727,605,563,44,6.05,138470.92,190.47,4.78,-0.0
20231020,2023-10-20,2023,4,10,October,42,515,430,1306990.47,1190358.39,2311.38,566,475,432,47,8.3,110006.19,194.36,4.96,0.03
20240319,2024-03-19,2024,1,3,March,12,228,181,567189.31,517762.35,2270.89,242,191,171,21,8.68,48021.51,198.44,4.9,0.02
20220823,2022-08-23,2022,3,8,August,34,292,235,800705.37,729452.33,2498.12,320,268,243,25,7.81,62412.95,195.04,4.62,-0.0
20250628,2025-06-28,2025,2,6,June,26,271,214,673984.37,610783.16,2253.81,228,191,169,24,10.53,43887.27,192.49,4.99,0.07
20240812,2024-08-12,2024,3,8,August,33,321,266,817375.26,737242.57,2296.71,277,229,212,20,7.22,54023.96,195.03,4.78,-0.01
20221003,2022-10-03,2022,4,10,October,40,590,485,1487083.34,1356259.33,2298.74,540,451,420,36,6.67,108333.39,200.62,5.07,0.02
20241020,2024-10-20,2024,4,10,October,42,557,460,1330621.88,1197390.56,2149.71,571,482,444,41,7.18,109992.34,192.63,4.87,0.02
20240119,2024-01-19,2024,1,1,January,3,222,179,510101.02,465538.63,2097.02,216,179,166,13,6.02,41248.93,190.97,4.85,-0.12
20220912,2022-09-12,2022,3,9,September,37,297,257,773688.91,697461.67,2348.36,324,279,247,32,9.88,60858.97,187.84,4.91,0.01
20231011,2023-10-11,2023,4,10,October,41,502,415,1221976.32,1100845.45,2192.92,552,460,415,46,8.33,113679.71,205.94,5.02,0.05
20230212,2023-02-12,2023,1,2,February,6,222,189,543709.3,486191.38,2190.05,240,206,190,19,7.92,47136.73,196.4,5.02,0.04
20250905,2025-09-05,2025,3,9,September,36,287,239,752948.43,674829.7,2351.32,325,267,248,19,5.85,65916.78,202.82,5.23,-0.05
20241212,2024-12-12,2024,4,12,December,50,445,356,1072091.78,965415.36,2169.47,425,354,328,28,6.59,88855.9,209.07,5.12,-0.04
20240109,2024-01-09,2024,1,1,January,2,209,173,550290.02,500557.34,2395.01,231,192,180,14,6.06,46143.31,199.75,4.84,0.0
20220126,2022-01-26,2022,1,1,January,4,238,197,528457.52,478799.73,2011.76,221,194,173,21,9.5,45691.24,206.75,5.71,0.07
20220424,2022-04-24,2022,2,4,April,16,279,237,652327.28,587351.53,2105.2,262,228,219,10,3.82,50033.21,190.97,4.6,-0.06
20220902,2022-09-02,2022,3,9,September,35,335,282,902071.81,815212.21,2433.47,308,269,247,22,7.14,62211.67,201.99,5.04,0.02
20221229,2022-12-29,2022,4,12,December,52,482,396,1092156.59,981529.66,2036.37,449,372,336,39,8.69,86436.98,192.51,5.0,0.07
20230317,2023-03-17,2023,1,3,March,11,250,203,691364.35,620498.31,2481.99,240,200,188,14,5.83,46698.67,194.58,4.7,-0.04
20231122,2023-11-22,2023,4,11,November,47,733,597,1793933.52,1626510.45,2218.98,736,625,570,56,7.61,151779.76,206.22,5.02,-0.02
20230412,2023-04-12,2023,2,4,April,15,268,219,677175.55,613789.95,2290.26,260,217,188,31,11.92,52002.15,200.01,4.96,0.13
20220415,2022-04-15,2022,2,4,April,15,216,176,570262.82,513458.44,2377.12,271,224,209,18,6.64,56394.0,208.1,4.85,-0.01
20230312,2023-03-12,2023,1,3,March,10,231,196,577092.03,526318.59,2278.44,200,164,156,9,4.5,37210.1,186.05,4.68,-0.03
20230206,2023-02-06,2023,1,2,February,6,191,158,431619.24,394155.47,2063.64,223,190,169,22,9.87,43381.59,194.54,4.96,0.04
20240926,2024-09-26,2024,3,9,September,39,345,289,837724.76,769984.87,2231.84,310,247,228,19,6.13,58839.26,189.8,4.69,0.01
20241004,2024-10-04,2024,4,10,October,40,598,503,1502907.48,1365901.92,2284.12,524,440,406,39,7.44,98874.04,188.69,4.84,-0.02
20221120,2022-11-20,2022,4,11,November,46,719,592,1786140.68,1623288.74,2257.7,729,637,584,57,7.82,141771.65,194.47,4.92,0.02
20220504,2022-05-04,2022,2,5,May,18,260,206,677581.63,611601.27,2352.31,274,234,217,17,6.2,54188.14,197.77,5.12,-0.03
20230623,2023-06-23,2023,2,6,June,25,247,210,600230.28,541381.07,2191.83,249,211,197,14,5.62,48321.02,194.06,4.8,-0.05
20221220,2022-12-20,2022,4,12,December,51,450,370,1220309.33,1114105.47,2475.79,434,370,345,25,5.76,83766.61,193.01,4.88,-0.03
20250629,2025-06-29,2025,2,6,June,26,250,203,596582.38,538131.0,2152.52,283,238,223,15,5.3,60123.78,212.45,5.1,-0.14
20220615,2022-06-15,2022,2,6,June,24,249,212,598739.78,538600.48,2163.05,237,206,179,28,11.81,43545.23,183.74,4.85,0.13
20241010,2024-10-10,2024,4,10,October,41,537,419,1366230.69,1232131.67,2294.47,541,454,423,34,6.28,107298.64,198.33,4.88,-0.02
20231003,2023-10-03,2023,4,10,October,40,581,478,1393554.63,1281201.2,2205.17,535,434,394,42,7.85,106533.15,199.13,5.05,0.03
20240224,2024-02-24,2024,1,2,February,8,234,193,590235.64,531627.92,2271.91,222,187,171,17,7.66,41753.63,188.08,4.78,-0.08
20240816,2024-08-16,2024,3,8,August,33,284,237,680713.43,620459.03,2184.71,302,247,226,21,6.95,58291.14,193.02,4.92,0.04
20251003,2025-10-03,2025,4,10,October,40,622,536,1441187.01,1307033.19,2101.34,488,405,371,36,7.38,99365.64,203.62,5.03,0.0
20230305,2023-03-05,2023,1,3,March,9,245,201,591106.67,539564.33,2202.3,249,205,196,9,3.61,52294.52,210.02,4.82,-0.09
20220127,2022-01-27,2022,1,1,January,4,254,213,647356.01,591843.11,2330.09,252,202,194,8,3.17,49708.22,197.25,4.94,-0.06
20250227,2025-02-27,2025,1,2,February,9,236,183,582772.65,524918.91,2224.23,219,183,169,15,6.85,43378.59,198.08,5.18,0.01
20250902,2025-09-02,2025,3,9,September,36,360,298,957530.18,866863.25,2407.95,332,263,237,26,7.83,63463.1,191.15,4.76,-0.01
20221216,2022-12-16,2022,4,12,December,50,447,361,1097365.21,995726.46,2227.58,466,384,358,26,5.58,94806.93,203.45,5.11,-0.05
20251230,2025-12-30,2025,4,12,December,1,486,399,1279230.42,1142893.76,2351.63,435,357,335,24,5.52,89629.33,206.04,4.93,-0.04
20241215,2024-12-15,2024,4,12,December,50,440,369,1088264.96,986753.47,2242.62,417,358,332,26,6.24,76840.66,184.27,4.6,-0.04
20250608,2025-06-08,2025,2,6,June,23,263,217,616860.03,567268.08,2156.91,224,188,170,18,8.04,41687.95,186.11,4.86,0.01
20220803,2022-08-03,2022,3,8,August,31,291,242,764674.55,693272.12,2382.38,270,232,211,21,7.78,53314.97,197.46,4.58,-0.02
20241216,2024-12-16,2024,4,12,December,51,484,385,1308305.88,1187230.92,2452.96,437,377,350,27,6.18,82329.82,188.4,4.79,-0.05
20230802,2023-08-02,2023,3,8,August,31,338,279,912998.63,826949.98,2446.6,281,239,229,11,3.91,55399.15,197.15,4.9,-0.09
20230107,2023-01-07,2023,1,1,January,1,230,189,549335.03,498299.29,2166.52,209,176,163,14,6.7,42081.9,201.35,4.78,-0.01
20220831,2022-08-31,2022,3,8,August,35,314,261,851647.91,765424.99,2437.66,305,270,246,24,7.87,59845.02,196.21,4.91,0.02
20250409,2025-04-09,2025,2,4,April,15,267,206,619255.47,560924.21,2100.84,262,225,209,16,6.11,54294.46,207.23,5.25,-0.03
20220921,2022-09-21,2022,3,9,September,38,312,250,778507.88,703951.87,2256.26,313,275,252,24,7.67,59577.56,190.34,4.99,0.03
20221123,2022-11-23,2022,4,11,November,47,722,586,1762685.04,1592626.42,2205.85,734,617,549,71,9.67,145837.93,198.69,4.78,0.06
20241121,2024-11-21,2024,4,11,November,47,751,607,1782718.34,1617213.9,2153.41,748,640,579,64,8.56,148485.47,198.51,5.0,0.0
20231216,2023-12-16,2023,4,12,December,50,452,368,1112145.87,1009805.11,2234.08,460,387,354,33,7.17,86601.18,188.26,4.86,-0.03
20230920,2023-09-20,2023,3,9,September,38,312,251,778038.78,705213.78,2260.3,305,249,232,17,5.57,56352.42,184.76,4.77,-0.01
20220121,2022-01-21,2022,1,1,January,3,223,180,579851.15,517961.66,2322.7,221,185,169,17,7.69,43371.96,196.25,5.24,-0.02
20220807,2022-08-07,2022,3,8,August,31,269,215,762170.75,680098.58,2528.25,304,252,236,16,5.26,59212.39,194.78,4.89,0.01
20251111,2025-11-11,2025,4,11,November,46,730,615,1856676.9,1677181.8,2297.51,719,607,555,52,7.23,139911.54,194.59,4.98,0.01
20240606,2024-06-06,2024,2,6,June,23,265,219,702717.86,627431.87,2367.67,258,217,202,16,6.2,48859.06,189.38,4.93,-0.01
20220618,2022-06-18,2022,2,6,June,24,269,223,633422.83,573730.41,2132.83,242,198,181,17,7.02,50754.12,209.73,5.18,0.02
20241221,2024-12-21,2024,4,12,December,51,468,372,1159763.71,1058929.62,2262.67,470,402,375,28,5.96,92282.66,196.35,4.82,-0.05
20230524,2023-05-24,2023,2,5,May,21,285,244,680895.77,621881.84,2182.04,271,224,197,27,9.96,52562.66,193.96,4.85,0.11
20220530,2022-05-30,2022,2,5,May,22,266,224,680589.54,604227.98,2271.53,283,237,211,26,9.19,56149.14,198.41,4.99,0.08
20240625,2024-06-25,2024,2,6,June,26,263,209,652772.45,594526.57,2260.56,261,208,188,21,8.05,52359.91,200.61,4.85,0.03
20230731,2023-07-31,2023,3,7,July,31,267,212,678560.8,618544.05,2316.64,267,226,207,19,7.12,52809.33,197.79,4.7,0.0
20230506,2023-05-06,2023,2,5,May,18,259,216,611121.71,553504.71,2137.08,258,221,204,20,7.75,48187.5,186.77,4.74,0.06
20241001,2024-10-01,2024,4,10,October,40,552,468,1416592.89,1274888.2,2309.58,358,293,265,28,7.82,67547.85,188.68,4.74,-0.03
20240418,2024-04-18,2024,2,4,April,16,264,203,615368.06,564934.83,2139.9,271,228,207,22,8.12,54462.95,200.97,5.25,0.06
20250306,2025-03-06,2025,1,3,March,10,238,193,550577.99,505615.13,2124.43,268,224,213,11,4.1,53004.57,197.78,4.79,-0.08
20220626,2022-06-26,2022,2,6,June,25,236,193,555901.83,512745.7,2172.65,249,203,188,16,6.43,46902.82,188.36,4.68,-0.02
20220713,2022-07-13,2022,3,7,July,28,291,237,730945.11,665526.67,2287.03,310,256,234,23,7.42,64004.94,206.47,5.08,0.1
20240729,2024-07-29,2024,3,7,July,31,280,228,658904.07,601030.07,2146.54,259,216,193,23,8.88,50661.12,195.6,5.03,0.01
20220302,2022-03-02,2022,1,3,March,9,223,189,586817.2,525508.22,2356.54,238,202,183,19,7.98,48087.11,202.05,5.18,0.06
20240327,2024-03-27,2024,1,3,March,13,273,232,697131.25,619387.35,2268.82,233,197,185,14,6.01,45505.78,195.3,4.8,-0.02
20240304,2024-03-04,2024,1,3,March,10,236,196,530022.74,478982.62,2029.59,221,190,175,16,7.24,42823.25,193.77,4.75,-0.01
20221215,2022-12-15,2022,4,12,December,50,488,399,1208394.28,1093948.64,2241.7,463,385,360,26,5.62,90248.52,194.92,4.67,-0.06
20230609,2023-06-09,2023,2,6,June,23,238,200,572771.7,516438.21,2169.91,252,220,211,11,4.37,50823.42,201.68,4.98,-0.07
20220423,2022-04-23,2022,2,4,April,16,268,222,591915.83,546876.18,2040.58,272,216,198,21,7.72,53004.71,194.87,5.05,0.02
20240116,2024-01-16,2024,1,1,January,3,240,202,561408.74,508406.02,2118.36,229,187,169,18,7.86,46336.49,202.34,4.99,0.01
20230627,2023-06-27,2023,2,6,June,26,270,222,702244.59,632107.04,2341.14,262,217,201,17,6.49,53533.57,204.33,5.16,-0.04
20240228,2024-02-28,2024,1,2,February,9,229,197,596695.72,537565.23,2347.45,221,195,181,14,6.33,43795.67,198.17,4.92,0.0
20250808,2025-08-08,2025,3,8,August,32,288,241,723600.46,652985.74,2267.31,311,268,238,31,9.97,58335.46,187.57,4.93,0.05
20220122,2022-01-22,2022,1,1,January,3,223,181,576765.98,525192.33,2355.12,225,179,158,22,9.78,44273.9,196.77,4.91,-0.01
20240623,2024-06-23,2024,2,6,June,25,263,216,658849.01,596168.72,2266.8,233,189,170,19,8.15,45086.53,193.5,5.03,0.01
20240106,2024-01-06,2024,1,1,January,1,218,187,517100.07,466151.9,2138.31,225,196,176,20,8.89,46416.65,206.3,5.19,0.08
20240627,2024-06-27,2024,2,6,June,26,274,226,688878.54,620943.7,2266.22,273,231,206,25,9.16,54381.95,199.2,5.22,0.06
20230313,2023-03-13,2023,1,3,March,11,239,203,619833.4,556236.47,2327.35,259,216,199,17,6.56,49894.22,192.64,4.97,0.02
20230503,2023-05-03,2023,2,5,May,18,261,210,651264.51,595826.92,2282.86,281,238,221,17,6.05,56452.17,200.9,5.11,-0.06
20250601,2025-06-01,2025,2,6,June,22,247,189,656418.43,594089.26,2405.22,278,237,210,28,10.07,49625.97,178.51,4.81,0.11
20230303,2023-03-03,2023,1,3,March,9,251,216,673684.35,606648.87,2416.93,226,191,177,17,7.52,45153.69,199.8,4.82,0.03
20230808,2023-08-08,2023,3,8,August,32,262,212,640295.6,580320.18,2214.96,278,222,210,13,4.68,56974.86,204.95,5.07,-0.06
20240208,2024-02-08,2024,1,2,February,6,204,161,475848.74,436147.55,2137.98,191,164,149,16,8.38,41069.5,215.02,5.11,-0.02
20220708,2022-07-08,2022,3,7,July,27,265,227,664347.4,600339.36,2265.43,293,247,232,16,5.46,54417.57,185.73,4.84,-0.02
20240222,2024-02-22,2024,1,2,February,8,208,176,604885.69,553567.01,2661.38,240,198,176,22,9.17,46188.28,192.45,4.87,0.0
20230409,2023-04-09,2023,2,4,April,14,250,212,611154.12,554013.89,2216.06,263,218,199,22,8.37,51076.22,194.21,4.88,0.09
20240530,2024-05-30,2024,2,5,May,22,248,203,591714.69,536885.85,2164.86,276,240,222,18,6.52,56371.02,204.24,4.83,-0.02
20240122,2024-01-22,2024,1,1,January,4,231,184,572035.63,525421.31,2274.55,243,205,188,17,7.0,46386.77,190.89,4.91,-0.04
20240216,2024-02-16,2024,1,2,February,7,237,196,577217.58,524184.39,2211.75,219,187,171,17,7.76,43793.96,199.97,4.88,-0.02
20220227,2022-02-27,2022,1,2,February,8,235,194,621768.4,555778.71,2365.02,212,189,172,17,8.02,45180.3,213.11,5.17,-0.03
20250704,2025-07-04,2025,3,7,July,27,264,208,709528.74,650088.82,2462.46,263,218,197,21,7.98,52653.76,200.2,4.9,0.02
20230804,2023-08-04,2023,3,8,August,31,271,212,693519.86,623609.84,2301.14,296,253,229,25,8.45,59157.51,199.86,5.02,0.06
20250425,2025-04-25,2025,2,4,April,17,236,191,640530.15,575347.54,2437.91,236,202,191,11,4.66,46272.44,196.07,4.81,-0.01
20220601,2022-06-01,2022,2,6,June,22,267,211,657575.46,597326.88,2237.18,245,207,186,21,8.57,48932.25,199.72,4.96,-0.02
20220711,2022-07-11,2022,3,7,July,28,275,229,684460.78,612404.83,2226.93,327,284,256,29,8.87,60260.97,184.28,4.74,0.09
20220206,2022-02-06,2022,1,2,February,5,172,144,409641.79,364916.46,2121.61,205,175,158,18,8.78,38829.71,189.41,4.93,0.1
20250718,2025-07-18,2025,3,7,July,29,278,233,729262.03,662866.32,2384.41,290,241,219,23,7.93,59152.99,203.98,4.96,0.04
20250407,2025-04-07,2025,2,4,April,15,250,203,567223.74,519721.22,2078.88,245,213,200,13,5.31,51905.93,211.86,5.11,-0.09
20250630,2025-06-30,2025,2,6,June,27,266,218,689859.93,622477.48,2340.14,254,214,202,13,5.12,48758.83,191.96,4.66,-0.0
20240218,2024-02-18,2024,1,2,February,7,215,173,536032.66,480704.22,2235.83,224,187,174,14,6.25,43457.42,194.01,5.12,0.01
20231204,2023-12-04,2023,4,12,December,49,468,399,1168216.12,1065234.23,2276.14,515,428,398,32,6.21,96960.89,188.27,4.75,-0.07
20221227,2022-12-27,2022,4,12,December,52,488,408,1163475.73,1051087.32,2153.87,431,350,329,22,5.1,89913.96,208.62,4.87,-0.06
20250605,2025-06-05,2025,2,6,June,23,244,198,590564.86,542086.98,2221.67,244,199,188,11,4.51,49699.31,203.69,4.96,-0.13
20220505,2022-05-05,2022,2,5,May,18,274,230,715333.12,649693.83,2371.15,254,213,187,27,10.63,53714.86,211.48,5.26,0.06
20250614,2025-06-14,2025,2,6,June,24,247,203,627749.09,568421.52,2301.3,235,195,185,10,4.26,45745.71,194.66,5.04,-0.06
20240403,2024-04-03,2024,2,4,April,14,242,200,580409.54,520503.51,2150.84,255,212,197,16,6.27,47488.26,186.23,4.66,-0.02
20221115,2022-11-15,2022,4,11,November,46,722,604,1786900.49,1613703.51,2235.05,728,629,576,55,7.55,144761.53,198.85,4.89,-0.01
20241219,2024-12-19,2024,4,12,December,51,441,359,1066064.31,967544.14,2193.98,438,373,344,31,7.08,82217.18,187.71,4.73,0.0
20231023,2023-10-23,2023,4,10,October,43,554,470,1454451.61,1314101.12,2372.02,566,486,456,30,5.3,116452.67,205.75,5.0,-0.08
20240711,2024-07-11,2024,3,7,July,28,260,218,668705.03,604309.57,2324.27,288,255,231,24,8.33,59359.57,206.11,5.01,0.0
20240911,2024-09-11,2024,3,9,September,37,324,257,905677.06,811670.95,2505.16,285,247,231,16,5.61,53590.78,188.04,5.06,0.01
20230831,2023-08-31,2023,3,8,August,35,282,243,715300.99,641960.39,2276.46,291,242,228,15,5.15,57015.45,195.93,4.66,-0.03
20240417,2024-04-17,2024,2,4,April,16,260,207,663403.01,598733.77,2302.82,260,222,201,23,8.85,51457.36,197.91,4.85,0.0
20230529,2023-05-29,2023,2,5,May,22,272,215,646554.72,586855.5,2157.56,269,227,210,17,6.32,54574.55,202.88,5.04,-0.05
20231004,2023-10-04,2023,4,10,October,40,546,441,1262800.42,1154835.59,2115.08,511,427,397,30,5.87,98265.88,192.3,4.85,-0.08
20250619,2025-06-19,2025,2,6,June,25,251,206,688734.39,630576.63,2512.26,249,209,192,17,6.83,48386.82,194.32,4.61,0.03
