date_key,full_date,year,quarter,month,month_name,week_of_year,total_orders,delivered_orders,gross_revenue,net_revenue,avg_order_value,total_shipments,delivered_shipments,on_time_shipments,shipping_cost,avg_shipping_cost,sla_breach_shipments,sla_breach_pct,avg_transit_days,avg_delay_days
20220131,2022-01-31,2022,1,1,January,5,233,187,647361.61,576566.2799999999,2474.5333905579396,204,182,182,39045.399999999994,191.39901960784312,22,10.78,4.8088235294117645,0.0784313725490196
20220201,2022-02-01,2022,1,2,February,5,230,188,561927.1,510646.80999999994,2220.2035217391303,205,182,182,38895.95999999999,189.7363902439024,23,11.22,5.034146341463415,0.1073170731707317
20220202,2022-02-02,2022,1,2,February,5,241,199,597462.4199999999,538909.1900000002,2236.1377178423245,195,177,177,37080.17,190.15471794871794,18,9.23,5.097435897435897,0.046153846153846156
20220203,2022-02-03,2022,1,2,February,5,216,179,503814.89999999997,449572.92000000004,2081.356111111111,224,209,209,42360.19000000001,189.10799107142861,15,6.7,4.897321428571429,0.04017857142857143
20220204,2022-02-04,2022,1,2,February,5,215,179,540449.4400000001,481415.27999999997,2239.1408372093024,208,188,188,43045.81999999999,206.95105769230764,20,9.62,5.3173076923076925,0.09134615384615384
20220205,2022-02-05,2022,1,2,February,5,214,175,546271.4400000001,499289.2699999999,2333.1274299065417,193,176,176,34844.53999999999,180.54165803108805,16,8.29,4.569948186528498,0.05181347150259067
20220206,2022-02-06,2022,1,2,February,5,172,144,409641.79000000004,364916.45999999996,2121.6073255813953,169,156,156,33907.99,200.6389940828402,13,7.69,4.970414201183432,0.011834319526627219
20220207,2022-02-07,2022,1,2,February,6,204,161,504402.92,461133.04000000004,2260.4560784313726,182,172,172,35155.35,193.16126373626372,10,5.49,4.747252747252747,-0.03296703296703297
20220208,2022-02-08,2022,1,2,February,6,196,155,504072.6600000001,456100.0,2327.0408163265306,180,166,166,34532.75,191.8486111111111,14,7.78,5.111111111111111,0.0
20220209,2022-02-09,2022,1,2,February,6,199,159,517476.02999999997,466579.04000000004,2344.6182914572864,180,168,168,33077.23,183.7623888888889,12,6.67,5.05,0.06111111111111111
20220210,2022-02-10,2022,1,2,February,6,215,176,537979.5499999999,487610.9200000001,2267.957767441861,206,188,188,42984.32,208.66174757281553,18,8.74,5.233009708737864,0.07281553398058252
20220211,2022-02-11,2022,1,2,February,6,203,169,500836.93999999994,458082.56,2256.5643349753695,177,166,166,34398.24,194.34033898305083,11,6.21,4.745762711864407,0.01694915254237288
20220212,2022-02-12,2022,1,2,February,6,236,205,667916.29,612219.6599999999,2594.151101694915,180,163,163,36476.590000000004,202.64772222222226,17,9.44,5.0,0.10555555555555556
20220213,2022-02-13,2022,1,2,February,6,227,204,602367.98,540418.6699999999,2380.6989867841407,210,197,197,42004.38,200.02085714285712,13,6.19,5.133333333333334,0.01904761904761905
20220214,2022-02-14,2022,1,2,February,7,211,163,496140.89999999997,447461.81000000006,2120.672085308057,203,191,191,38862.47,191.44073891625615,12,5.91,5.019704433497537,-0.034482758620689655
20220215,2022-02-15,2022,1,2,February,7,209,173,515828.8,465200.37,2225.839090909091,195,175,175,36053.380000000005,184.88912820512823,20,10.26,4.871794871794871,0.12307692307692308
20220216,2022-02-16,2022,1,2,February,7,207,161,566150.6900000001,512269.37,2474.731256038647,187,167,167,37747.05,201.8558823529412,19,10.16,5.32620320855615,0.12299465240641712
20220217,2022-02-17,2022,1,2,February,7,178,149,510333.74,457805.75,2571.942415730337,184,168,168,38501.21,209.24570652173912,16,8.7,4.940217391304348,0.07065217391304347
20220218,2022-02-18,2022,1,2,February,7,203,165,579193.3099999999,531102.9600000001,2616.2707389162565,166,159,159,33858.65,203.96777108433736,7,4.22,5.006024096385542,-0.012048192771084338
20220219,2022-02-19,2022,1,2,February,7,228,196,513025.7700000001,466866.40000000014,2047.6596491228077,172,163,163,35016.579999999994,203.58476744186044,9,5.23,4.843023255813954,-0.05813953488372093
20220220,2022-02-20,2022,1,2,February,7,221,183,564480.1099999999,514595.06999999995,2328.484479638009,196,174,174,39974.93,203.95372448979592,22,11.22,5.051020408163265,0.1377551020408163
20220221,2022-02-21,2022,1,2,February,8,222,188,620805.7899999999,558461.8500000001,2515.5939189189194,202,192,192,39701.11,196.5401485148515,10,4.95,4.99009900990099,0.009900990099009901
20220222,2022-02-22,2022,1,2,February,8,217,182,574066.8400000001,515841.01,2377.147511520737,196,185,185,37728.990000000005,192.49484693877554,11,5.61,4.535714285714286,-0.015306122448979591
20220223,2022-02-23,2022,1,2,February,8,197,155,431304.13,394557.42000000004,2002.8295431472084,179,155,155,36738.87,205.2450837988827,24,13.41,5.301675977653631,0.1564245810055866
20220224,2022-02-24,2022,1,2,February,8,208,177,519086.5900000001,469117.13000000006,2255.3708173076925,209,194,194,39216.149999999994,187.6370813397129,15,7.18,4.985645933014354,0.028708133971291867
20220225,2022-02-25,2022,1,2,February,8,201,177,546612.4600000001,495641.26,2465.8769154228858,170,159,159,31434.589999999997,184.90935294117645,11,6.47,4.617647058823529,-0.01764705882352941
20220226,2022-02-26,2022,1,2,February,8,201,171,465048.34,423391.11,2106.4234328358207,201,188,188,36938.490000000005,183.77358208955226,13,6.47,4.970149253731344,0.04975124378109453
20220227,2022-02-27,2022,1,2,February,8,235,194,621768.4,555778.71,2365.0157872340424,187,171,171,35188.25000000001,188.17245989304817,16,8.56,4.93048128342246,0.026737967914438502
20220228,2022-02-28,2022,1,2,February,9,210,162,477266.53,440118.18999999994,2095.8009047619043,190,176,176,36737.18,193.35357894736842,14,7.37,5.110526315789474,-0.010526315789473684
20220301,2022-03-01,2022,1,3,March,9,237,196,584548.69,532153.81,2245.374725738397,214,193,193,40451.87,189.02742990654207,21,9.81,4.752336448598131,0.09345794392523364
20220302,2022-03-02,2022,1,3,March,9,223,189,586817.2,525508.22,2356.539103139013,188,174,174,38756.19,206.14994680851066,14,7.45,4.851063829787234,0.02127659574468085
20220303,2022-03-03,2022,1,3,March,9,259,214,737474.43,667313.24,2576.498996138996,213,193,193,39458.66999999999,185.25197183098587,20,9.39,5.117370892018779,0.12206572769953052
20220304,2022-03-04,2022,1,3,March,9,246,197,638782.58,582011.88,2365.9019512195123,206,190,190,41712.200000000004,202.4864077669903,16,7.77,5.116504854368932,0.06310679611650485
20220305,2022-03-05,2022,1,3,March,9,230,190,549186.6799999999,494914.17999999993,2151.8007826086955,225,205,205,44351.92,197.11964444444445,20,8.89,4.822222222222222,0.06222222222222222
20220306,2022-03-06,2022,1,3,March,9,247,204,607320.62,551687.96,2233.5544939271253,237,222,222,43268.84,182.5689451476793,15,6.33,4.666666666666667,0.004219409282700422
20220307,2022-03-07,2022,1,3,March,10,260,213,745318.11,668795.4799999999,2572.290307692307,229,203,203,42350.189999999995,184.935327510917,26,11.35,4.877729257641922,0.10480349344978165
20220308,2022-03-08,2022,1,3,March,10,255,211,669273.1499999999,607159.0800000001,2381.016,223,202,202,45644.06999999999,204.68192825112104,21,9.42,5.116591928251121,0.06726457399103139
20220309,2022-03-09,2022,1,3,March,10,240,205,569577.04,517625.1899999999,2156.7716249999994,207,192,192,42712.22,206.3392270531401,15,7.25,5.236714975845411,0.0
20220310,2022-03-10,2022,1,3,March,10,252,205,636582.91,578060.03,2293.889007936508,236,220,220,48222.44,204.33237288135595,16,6.78,5.084745762711864,0.029661016949152543
20220311,2022-03-11,2022,1,3,March,10,258,195,704549.3799999999,627622.4600000001,2432.64519379845,245,234,234,46843.78999999999,191.19914285714282,11,4.49,4.751020408163265,-0.036734693877551024
20220312,2022-03-12,2022,1,3,March,10,249,197,680156.2299999999,611792.3200000002,2456.997269076306,223,202,202,41528.08,186.2245739910314,21,9.42,4.556053811659193,0.08968609865470852
20220313,2022-03-13,2022,1,3,March,10,259,216,619993.0899999999,558416.3799999999,2156.047799227799,226,210,210,45817.98,202.73442477876108,16,7.08,5.123893805309734,0.04424778761061947
20220314,2022-03-14,2022,1,3,March,11,234,194,590530.32,537979.42,2299.0573504273507,244,219,219,48686.91,199.53651639344264,25,10.25,5.180327868852459,0.09016393442622951
20220315,2022-03-15,2022,1,3,March,11,247,193,638602.72,570678.0900000001,2310.4376113360327,206,197,197,42785.520000000004,207.69669902912622,9,4.37,5.063106796116505,-0.06796116504854369
20220316,2022-03-16,2022,1,3,March,11,241,206,637307.81,580829.0,2410.0788381742736,226,206,206,47332.89,209.4375663716814,20,8.85,5.132743362831858,0.05309734513274336
20220317,2022-03-17,2022,1,3,March,11,225,181,538703.25,489749.31999999995,2176.6636444444443,227,210,210,44277.90999999999,195.05687224669597,17,7.49,4.964757709251101,0.02643171806167401
20220318,2022-03-18,2022,1,3,March,11,257,204,652166.61,597265.3600000001,2323.9897276264596,206,194,194,39823.18,193.3164077669903,12,5.83,4.966019417475728,-0.014563106796116505
20220319,2022-03-19,2022,1,3,March,11,234,190,522133.4699999999,476155.61999999994,2034.8530769230767,208,197,197,40165.73,193.10447115384616,11,5.29,4.9375,0.052884615384615384
20220320,2022-03-20,2022,1,3,March,11,217,172,557146.5499999999,501886.68,2312.8418433179722,204,190,190,41067.119999999995,201.30941176470586,14,6.86,4.916666666666667,0.00980392156862745
20220321,2022-03-21,2022,1,3,March,12,229,196,555153.0800000001,497909.3799999999,2174.2767685589515,207,191,191,39080.06999999999,188.79260869565215,16,7.73,4.777777777777778,0.05314009661835749
20220322,2022-03-22,2022,1,3,March,12,251,202,624285.91,563299.1699999999,2244.2198007968123,203,192,192,40394.86000000001,198.98945812807887,11,5.42,5.068965517241379,-0.04926108374384237
20220323,2022-03-23,2022,1,3,March,12,237,207,644927.73,580424.5399999999,2449.048691983122,202,185,185,42332.93,209.5689603960396,17,8.42,5.485148514851486,0.039603960396039604
20220324,2022-03-24,2022,1,3,March,12,248,201,676532.04,608552.0299999999,2453.838830645161,231,215,215,44452.51000000001,192.43510822510825,16,6.93,5.251082251082251,0.004329004329004329
20220325,2022-03-25,2022,1,3,March,12,242,208,559706.7799999999,512331.37999999995,2117.071818181818,224,201,201,42009.84,187.54392857142855,23,10.27,4.763392857142857,0.09375
20220326,2022-03-26,2022,1,3,March,12,248,200,632716.75,571896.83,2306.0356048387093,219,199,199,43201.009999999995,197.26488584474885,20,9.13,5.041095890410959,0.0410958904109589
20220327,2022-03-27,2022,1,3,March,12,233,190,559671.03,516443.61,2216.496180257511,235,226,226,45467.54,193.47889361702127,9,3.83,4.608510638297872,-0.06808510638297872
20220328,2022-03-28,2022,1,3,March,13,240,190,643225.3399999999,585778.4099999999,2440.7433749999996,215,193,193,42427.35,197.33651162790696,22,10.23,5.311627906976744,0.08837209302325581
20220329,2022-03-29,2022,1,3,March,13,234,198,569763.57,508894.2499999999,2174.7617521367515,207,191,191,42485.46,205.24376811594203,16,7.73,5.178743961352657,0.03864734299516908
20220330,2022-03-30,2022,1,3,March,13,222,176,589811.5000000001,536428.78,2416.345855855856,217,199,199,41945.96999999999,193.29940092165893,18,8.29,4.990783410138249,0.09216589861751152
20220331,2022-03-31,2022,1,3,March,13,285,234,695679.22,631242.01,2214.884245614035,233,212,212,45469.219999999994,195.14686695278968,21,9.01,4.836909871244635,0.06437768240343347
20220401,2022-04-01,2022,2,4,April,13,242,191,546207.0900000001,494363.7200000001,2042.8252892561986,218,205,205,41630.880000000005,190.9673394495413,13,5.96,4.940366972477064,0.05504587155963303
20220402,2022-04-02,2022,2,4,April,13,227,194,550118.32,498023.14,2193.934537444934,214,196,196,44052.159999999996,205.851214953271,18,8.41,5.074766355140187,0.028037383177570093
20220403,2022-04-03,2022,2,4,April,13,245,192,614948.35,553890.21,2260.7763673469385,224,208,208,44876.42,200.3411607142857,16,7.14,5.0625,0.0
20220404,2022-04-04,2022,2,4,April,14,267,209,681226.6699999999,616920.9900000001,2310.565505617978,199,176,176,39010.74999999999,196.03391959798992,23,11.56,4.9296482412060305,0.12562814070351758
20220405,2022-04-05,2022,2,4,April,14,242,189,536594.43,495759.95000000007,2048.594834710744,234,218,218,47602.649999999994,203.43012820512817,16,6.84,5.162393162393163,0.02564102564102564
20220406,2022-04-06,2022,2,4,April,14,263,220,698270.49,633248.0,2407.787072243346,227,209,209,44436.07,195.75361233480177,18,7.93,4.71806167400881,0.022026431718061675
20220407,2022-04-07,2022,2,4,April,14,233,192,620696.0199999999,564935.46,2424.615708154506,229,212,212,45634.45,199.27707423580785,17,7.42,4.951965065502184,0.0
20220408,2022-04-08,2022,2,4,April,14,257,209,600166.28,549647.7600000001,2138.707237354086,215,197,197,45103.979999999996,209.7859534883721,18,8.37,5.251162790697674,0.05581395348837209
20220409,2022-04-09,2022,2,4,April,14,252,200,605786.9000000001,553269.66,2195.514523809524,243,219,219,45526.76999999999,187.35296296296292,24,9.88,4.847736625514403,0.07407407407407407
20220410,2022-04-10,2022,2,4,April,14,242,197,583844.5199999999,532779.1699999999,2201.566818181818,223,210,210,44711.600000000006,200.5004484304933,13,5.83,5.004484304932736,0.04932735426008968
20220411,2022-04-11,2022,2,4,April,15,253,209,699400.4800000001,636904.74,2517.4100395256914,235,224,224,43500.63,185.10906382978723,11,4.68,4.808510638297872,-0.01702127659574468
20220412,2022-04-12,2022,2,4,April,15,259,207,675557.1799999999,619200.35,2390.734942084942,223,209,209,43792.08999999999,196.37708520179368,14,6.28,4.748878923766816,0.026905829596412557
20220413,2022-04-13,2022,2,4,April,15,306,255,716154.6900000001,652025.51,2130.802320261438,240,225,225,47818.69999999999,199.24458333333328,15,6.25,4.608333333333333,0.04583333333333333
20220414,2022-04-14,2022,2,4,April,15,254,218,559592.27,509425.0199999999,2005.6103149606295,242,220,220,49074.67999999999,202.7879338842975,22,9.09,5.078512396694215,0.049586776859504134
20220415,2022-04-15,2022,2,4,April,15,216,176,570262.8199999998,513458.44000000006,2377.1224074074075,239,214,214,47289.52,197.86410041841003,25,10.46,5.03347280334728,0.13389121338912133
20220416,2022-04-16,2022,2,4,April,15,248,208,552467.96,503180.1,2028.9520161290322,202,182,182,37088.299999999996,183.60544554455444,20,9.9,4.792079207920792,0.09405940594059406
20220417,2022-04-17,2022,2,4,April,15,274,224,694082.9299999999,622425.4299999999,2271.6256569343063,229,210,210,41238.15000000001,180.07925764192143,19,8.3,4.759825327510917,0.0611353711790393
20220418,2022-04-18,2022,2,4,April,16,266,224,731043.7599999999,661702.6399999999,2487.6039097744356,249,233,233,46733.28,187.68385542168673,16,6.43,4.927710843373494,-0.012048192771084338
20220419,2022-04-19,2022,2,4,April,16,260,199,642643.55,572811.5499999999,2203.121346153846,257,237,237,48551.04000000001,188.9145525291829,20,7.78,5.1400778210116735,0.042801556420233464
20220420,2022-04-20,2022,2,4,April,16,259,216,672603.29,603436.5200000001,2329.8707335907343,212,191,191,44258.96000000001,208.76867924528304,21,9.91,5.05188679245283,0.08490566037735849
20220421,2022-04-21,2022,2,4,April,16,272,233,651024.7399999999,588627.1799999999,2164.070514705882,240,216,216,44345.89,184.77454166666666,24,10.0,5.0125,0.0625
20220422,2022-04-22,2022,2,4,April,16,253,212,608595.82,555232.6000000001,2194.5952569169963,225,206,206,47755.509999999995,212.2467111111111,19,8.44,5.333333333333333,0.0
20220423,2022-04-23,2022,2,4,April,16,268,222,591915.83,546876.1799999999,2040.5827611940297,231,206,206,45979.83,199.04688311688312,25,10.82,5.3852813852813854,0.11688311688311688
20220424,2022-04-24,2022,2,4,April,16,279,237,652327.2800000001,587351.53,2105.202616487455,257,236,236,51489.93000000001,200.34992217898835,21,8.17,4.957198443579767,0.038910505836575876
20220425,2022-04-25,2022,2,4,April,17,256,208,662294.4600000001,601535.0,2349.74609375,231,211,211,41992.380000000005,181.78519480519483,20,8.66,4.753246753246753,0.0735930735930736
20220426,2022-04-26,2022,2,4,April,17,259,227,648693.9000000001,586924.01,2266.115868725869,251,235,235,53973.5,215.03386454183266,16,6.37,4.721115537848606,0.02390438247011952
20220427,2022-04-27,2022,2,4,April,17,240,195,566540.4299999998,511352.29000000015,2130.6345416666672,229,203,203,45676.92999999999,199.46257641921395,26,11.35,5.004366812227074,0.11353711790393013
20220428,2022-04-28,2022,2,4,April,17,307,254,830754.02,758337.8400000002,2470.155830618893,230,211,211,45563.51999999999,198.10226086956519,19,8.26,4.939130434782609,0.05217391304347826
20220429,2022-04-29,2022,2,4,April,17,277,211,635350.23,569813.5499999999,2057.0886281588446,246,240,240,46520.51,189.1077642276423,6,2.44,5.032520325203252,-0.06910569105691057
20220430,2022-04-30,2022,2,4,April,17,248,200,562815.7300000001,508612.35,2050.85625,249,232,232,48811.56999999999,196.03040160642567,16,6.43,4.791164658634538,0.008032128514056224
20220501,2022-05-01,2022,2,5,May,17,270,220,599983.9400000001,544336.53,2016.0612222222223,240,220,220,47930.19000000002,199.70912500000006,20,8.33,4.995833333333334,0.04583333333333333
20220502,2022-05-02,2022,2,5,May,18,258,217,658102.0399999999,600761.09,2328.531356589147,239,220,220,44599.37000000001,186.6082426778243,19,7.95,4.849372384937238,0.058577405857740586
20220503,2022-05-03,2022,2,5,May,18,265,225,659747.4,599982.7,2264.085660377358,227,207,207,46149.79,203.3030396475771,20,8.81,5.202643171806168,0.05286343612334802
20220504,2022-05-04,2022,2,5,May,18,260,206,677581.63,611601.2700000001,2352.3125769230774,247,226,226,50432.57,204.18044534412957,21,8.5,5.048582995951417,0.04048582995951417
20220505,2022-05-05,2022,2,5,May,18,274,230,715333.1199999999,649693.8299999998,2371.145364963503,225,209,209,45122.78999999999,200.54573333333332,16,7.11,4.666666666666667,-0.04888888888888889
20220506,2022-05-06,2022,2,5,May,18,251,207,646921.8300000001,591744.16,2357.546454183267,237,221,221,45543.75,192.16772151898735,16,6.75,5.0210970464135025,-0.02109704641350211
20220507,2022-05-07,2022,2,5,May,18,266,217,675154.19,609891.82,2292.826390977443,228,210,210,45974.369999999995,201.6419736842105,18,7.89,5.241228070175438,0.017543859649122806
20220508,2022-05-08,2022,2,5,May,18,245,202,631090.2599999999,567370.1299999999,2315.7964489795913,233,220,220,46527.340000000004,199.6881545064378,13,5.58,4.785407725321888,-0.02575107296137339
20220509,2022-05-09,2022,2,5,May,19,280,235,717549.9999999998,656245.99,2343.7356785714287,242,217,217,48174.149999999994,199.06673553719006,25,10.33,4.789256198347108,0.024793388429752067
20220510,2022-05-10,2022,2,5,May,19,268,217,630301.8700000001,571089.77,2130.9319776119405,266,250,250,53605.350000000006,201.52387218045115,16,6.02,4.860902255639098,-0.022556390977443608
20220511,2022-05-11,2022,2,5,May,19,281,238,676910.7000000001,604428.68,2150.991743772242,210,193,193,38128.3,181.56333333333336,17,8.1,4.714285714285714,0.04285714285714286
20220512,2022-05-12,2022,2,5,May,19,292,235,703716.06,642909.5800000001,2201.7451369863015,265,250,250,51508.12000000001,194.37026415094343,15,5.66,5.007547169811321,-0.026415094339622643
20220513,2022-05-13,2022,2,5,May,19,282,226,649461.98,593169.4800000002,2103.437872340426,256,235,235,50193.780000000006,196.06945312500002,21,8.2,4.90234375,0.00390625
20220514,2022-05-14,2022,2,5,May,19,261,210,611544.5,551394.87,2112.6240229885057,267,247,247,55349.16,207.30022471910112,20,7.49,4.955056179775281,0.0299625468164794
20220515,2022-05-15,2022,2,5,May,19,289,238,758649.1599999999,696099.3600000001,2408.64830449827,224,206,206,43223.3,192.96116071428574,18,8.04,4.723214285714286,0.05357142857142857
20220516,2022-05-16,2022,2,5,May,20,265,214,594949.8200000002,540952.98,2041.3319999999999,253,230,230,46729.23000000001,184.70051383399215,23,9.09,4.928853754940712,0.08695652173913043
20220517,2022-05-17,2022,2,5,May,20,292,227,800586.9499999998,728687.71,2495.5058561643837,246,229,229,45509.19,184.99670731707317,17,6.91,5.048780487804878,0.028455284552845527
20220518,2022-05-18,2022,2,5,May,20,263,214,703778.78,633394.17,2408.342851711027,246,223,223,51087.380000000005,207.67227642276424,23,9.35,4.914634146341464,0.09349593495934959
20220519,2022-05-19,2022,2,5,May,20,254,211,622056.96,564346.9500000001,2221.838385826772,245,224,224,49140.54,200.57363265306122,21,8.57,5.0081632653061225,0.08163265306122448
20220520,2022-05-20,2022,2,5,May,20,283,221,692959.4099999999,633261.93,2237.674664310954,218,202,202,42270.920000000006,193.9033027522936,16,7.34,5.201834862385321,0.0045871559633027525
20220521,2022-05-21,2022,2,5,May,20,259,216,669847.55,604666.0499999999,2334.6179536679533,271,252,252,53670.880000000005,198.04752767527677,19,7.01,5.047970479704797,0.025830258302583026
20220522,2022-05-22,2022,2,5,May,20,287,238,739910.65,666238.4600000001,2321.388362369338,239,224,224,48660.44,203.60016736401676,15,6.28,5.071129707112971,0.008368200836820083
20220523,2022-05-23,2022,2,5,May,21,263,204,608733.6699999999,553437.42,2104.3247908745248,267,243,243,51834.81,194.13786516853932,24,8.99,4.947565543071161,0.0749063670411985
20220524,2022-05-24,2022,2,5,May,21,270,226,662169.63,599210.18,2219.2969629629633,231,213,213,46654.99,201.96965367965367,18,7.79,5.0562770562770565,0.06060606060606061
20220525,2022-05-25,2022,2,5,May,21,252,209,635269.66,582839.48,2312.8550793650793,212,199,199,43364.13,204.5477830188679,13,6.13,4.820754716981132,0.0
20220526,2022-05-26,2022,2,5,May,21,272,221,743186.8900000001,680844.1200000001,2503.1033823529415,241,222,222,49883.36,206.98489626556017,19,7.88,5.029045643153527,0.024896265560165973
20220527,2022-05-27,2022,2,5,May,21,310,255,773292.1600000001,697345.1900000001,2249.500612903226,242,225,225,49605.600000000006,204.9818181818182,17,7.02,5.268595041322314,0.0371900826446281
20220528,2022-05-28,2022,2,5,May,21,291,226,704095.22,636007.5799999998,2185.5930584192433,282,260,260,54355.58,192.75028368794327,22,7.8,4.840425531914893,0.04609929078014184
20220529,2022-05-29,2022,2,5,May,21,290,241,713887.96,646002.4000000001,2227.5944827586213,279,255,255,55199.76999999999,197.8486379928315,24,8.6,5.053763440860215,0.053763440860215055
20220530,2022-05-30,2022,2,5,May,22,266,224,680589.5399999999,604227.9800000001,2271.5337593984964,227,210,210,42538.88,187.39594713656388,17,7.49,4.81057268722467,-0.00881057268722467
